Id,Class
0,1
1,1
2,4
3,7
4,5
5,4
6,3
7,1
8,1
9,2
10,4
11,2
12,6
13,9
14,1
15,0
16,4
17,4
18,3
19,3
20,3
21,5
22,4
23,8
24,7
25,9
26,3
27,0
28,3
29,3
30,2
31,6
32,2
33,1
34,1
35,2
36,0
37,3
38,2
39,0
40,6
41,2
42,7
43,9
44,2
45,2
46,3
47,1
48,4
49,5
50,4
51,4
52,7
53,0
54,5
55,9
56,8
57,3
58,8
59,1
60,5
61,0
62,7
63,1
64,3
65,0
66,2
67,1
68,2
69,0
70,5
71,7
72,0
73,0
74,1
75,8
76,7
77,0
78,2
79,3
80,3
81,3
82,8
83,4
84,4
85,1
86,2
87,0
88,9
89,1
90,2
91,4
92,7
93,6
94,3
95,1
96,7
97,8
98,5
99,1
100,3
101,4
102,0
103,2
104,3
105,2
106,1
107,2
108,6
109,1
110,8
111,3
112,7
113,4
114,8
115,8
116,2
117,4
118,1
119,2
120,2
121,5
122,1
123,3
124,0
125,2
126,1
127,9
128,1
129,8
130,4
131,1
132,6
133,7
134,0
135,8
136,4
137,0
138,4
139,9
140,3
141,8
142,2
143,4
144,3
145,8
146,9
147,7
148,0
149,0
150,5
151,4
152,2
153,2
154,6
155,7
156,8
157,5
158,0
159,6
160,9
161,7
162,8
163,8
164,1
165,2
166,5
167,9
168,0
169,2
170,3
171,3
172,0
173,8
174,0
175,3
176,5
177,8
178,0
179,7
180,7
181,0
182,1
183,3
184,2
185,4
186,8
187,2
188,2
189,4
190,3
191,3
192,3
193,4
194,8
195,3
196,5
197,3
198,0
199,6
200,5
201,0
202,3
203,4
204,0
205,0
206,5
207,2
208,0
209,9
210,0
211,8
212,7
213,3
214,4
215,3
216,8
217,2
218,5
219,0
220,6
221,5
222,1
223,8
224,0
225,2
226,7
227,7
228,1
229,0
230,3
231,7
232,6
233,6
234,4
235,2
236,2
237,6
238,0
239,4
240,3
241,9
242,4
243,9
244,9
245,6
246,1
247,6
248,8
249,8
250,0
251,3
252,9
253,2
254,1
255,2
256,5
257,0
258,2
259,3
260,8
261,2
262,0
263,4
264,6
265,1
266,5
267,4
268,4
269,1
270,1
271,1
272,0
273,4
274,1
275,5
276,9
277,2
278,1
279,4
280,2
281,3
282,0
283,2
284,4
285,6
286,8
287,7
288,6
289,2
290,8
291,5
292,2
293,3
294,9
295,0
296,8
297,4
298,2
299,1
300,4
301,9
302,6
303,7
304,2
305,5
306,4
307,3
308,8
309,3
310,0
311,3
312,0
313,9
314,6
315,3
316,4
317,8
318,2
319,4
320,4
321,4
322,4
323,3
324,0
325,3
326,2
327,6
328,3
329,3
330,1
331,3
332,4
333,7
334,4
335,4
336,8
337,8
338,1
339,2
340,1
341,3
342,7
343,2
344,8
345,3
346,4
347,3
348,9
349,3
350,0
351,8
352,3
353,1
354,3
355,7
356,1
357,0
358,1
359,0
360,5
361,2
362,3
363,9
364,2
365,7
366,4
367,2
368,5
369,3
370,4
371,0
372,1
373,8
374,3
375,8
376,7
377,0
378,2
379,6
380,7
381,0
382,6
383,3
384,3
385,8
386,7
387,0
388,0
389,0
390,5
391,6
392,7
393,5
394,9
395,8
396,3
397,8
398,1
399,5
400,5
401,9
402,0
403,3
404,1
405,4
406,0
407,7
408,1
409,2
410,7
411,7
412,2
413,3
414,0
415,2
416,9
417,2
418,6
419,7
420,3
421,0
422,5
423,3
424,7
425,5
426,8
427,4
428,3
429,6
430,6
431,1
432,7
433,1
434,4
435,3
436,8
437,0
438,7
439,4
440,4
441,7
442,2
443,9
444,7
445,1
446,5
447,0
448,3
449,9
450,5
451,1
452,8
453,3
454,1
455,2
456,2
457,2
458,0
459,4
460,3
461,9
462,7
463,2
464,0
465,5
466,4
467,7
468,3
469,6
470,3
471,8
472,3
473,9
474,3
475,2
476,7
477,3
478,3
479,2
480,8
481,3
482,3
483,4
484,2
485,4
486,1
487,1
488,6
489,7
490,3
491,0
492,7
493,7
494,3
495,4
496,7
497,3
498,4
499,9
500,4
501,0
502,0
503,3
504,1
505,9
506,0
507,3
508,9
509,7
510,2
511,4
512,2
513,6
514,1
515,7
516,8
517,2
518,5
519,6
520,1
521,2
522,0
523,4
524,3
525,1
526,0
527,6
528,2
529,3
530,1
531,1
532,0
533,2
534,0
535,8
536,0
537,9
538,0
539,1
540,3
541,7
542,7
543,0
544,6
545,2
546,1
547,6
548,6
549,1
550,7
551,0
552,6
553,7
554,1
555,1
556,5
557,5
558,4
559,0
560,1
561,1
562,0
563,4
564,1
565,2
566,4
567,2
568,9
569,9
570,5
571,1
572,3
573,8
574,6
575,6
576,2
577,8
578,7
579,1
580,4
581,8
582,3
583,6
584,4
585,6
586,0
587,3
588,9
589,2
590,7
591,1
592,8
593,7
594,0
595,7
596,3
597,8
598,6
599,7
600,5
601,1
602,0
603,0
604,7
605,4
606,9
607,8
608,8
609,2
610,2
611,8
612,1
613,0
614,3
615,3
616,9
617,4
618,7
619,2
620,0
621,3
622,3
623,0
624,0
625,3
626,1
627,8
628,4
629,5
630,0
631,2
632,1
633,7
634,3
635,3
636,0
637,3
638,5
639,0
640,4
641,0
642,6
643,4
644,2
645,5
646,7
647,4
648,9
649,2
650,4
651,0
652,9
653,6
654,5
655,2
656,0
657,6
658,6
659,7
660,3
661,1
662,3
663,2
664,8
665,4
666,7
667,7
668,9
669,2
670,1
671,0
672,1
673,1
674,6
675,0
676,8
677,3
678,5
679,1
680,0
681,7
682,3
683,2
684,3
685,7
686,4
687,1
688,4
689,4
690,6
691,0
692,4
693,0
694,4
695,3
696,0
697,8
698,8
699,0
700,3
701,5
702,3
703,7
704,3
705,4
706,9
707,5
708,7
709,7
710,1
711,4
712,9
713,0
714,9
715,8
716,4
717,0
718,2
719,5
720,2
721,6
722,2
723,2
724,3
725,3
726,2
727,7
728,0
729,7
730,3
731,1
732,0
733,3
734,2
735,2
736,5
737,1
738,8
739,8
740,6
741,2
742,8
743,1
744,3
745,2
746,8
747,5
748,5
749,8
750,5
751,8
752,1
753,1
754,1
755,9
756,4
757,8
758,1
759,1
760,1
761,7
762,5
763,2
764,0
765,9
766,3
767,2
768,2
769,2
770,9
771,2
772,1
773,1
774,2
775,1
776,6
777,2
778,2
779,5
780,0
781,3
782,0
783,0
784,2
785,7
786,7
787,2
788,9
789,9
790,1
791,2
792,3
793,3
794,4
795,3
796,3
797,6
798,6
799,2
800,1
801,4
802,8
803,5
804,2
805,8
806,2
807,4
808,4
809,7
810,5
811,3
